"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060014033021","Block Group 1, Census Tract 4033.02, Alameda County, California","426","234",
"1500000US060014033022","Block Group 2, Census Tract 4033.02, Alameda County, California","1217","355",
"1500000US060014033023","Block Group 3, Census Tract 4033.02, Alameda County, California","746","268",
"1500000US060014034011","Block Group 1, Census Tract 4034.01, Alameda County, California","867","155",
"1500000US060014034012","Block Group 2, Census Tract 4034.01, Alameda County, California","1038","312",
"1500000US060014034013","Block Group 3, Census Tract 4034.01, Alameda County, California","1035","232",
"1500000US060014034021","Block Group 1, Census Tract 4034.02, Alameda County, California","78","76",
"1500000US060014034022","Block Group 2, Census Tract 4034.02, Alameda County, California","1327","201",
"1500000US060014035011","Block Group 1, Census Tract 4035.01, Alameda County, California","1209","449",
"1500000US060014035012","Block Group 2, Census Tract 4035.01, Alameda County, California","1693","382",
"1500000US060014035013","Block Group 3, Census Tract 4035.01, Alameda County, California","678","334",
"1500000US060014035014","Block Group 4, Census Tract 4035.01, Alameda County, California","874","398",
"1500000US060014035021","Block Group 1, Census Tract 4035.02, Alameda County, California","780","186",
"1500000US060014035022","Block Group 2, Census Tract 4035.02, Alameda County, California","1122","259",
"1500000US060014036001","Block Group 1, Census Tract 4036, Alameda County, California","827","202",
"1500000US060014036002","Block Group 2, Census Tract 4036, Alameda County, California","1303","383",
"1500000US060014036003","Block Group 3, Census Tract 4036, Alameda County, California","3452","580",
"1500000US060014037011","Block Group 1, Census Tract 4037.01, Alameda County, California","1446","333",
"1500000US060014037012","Block Group 2, Census Tract 4037.01, Alameda County, California","1330","155",
"1500000US060014037021","Block Group 1, Census Tract 4037.02, Alameda County, California","532","157",
"1500000US060014037022","Block Group 2, Census Tract 4037.02, Alameda County, California","1351","254",
"1500000US060014038001","Block Group 1, Census Tract 4038, Alameda County, California","607","296",
"1500000US060014038002","Block Group 2, Census Tract 4038, Alameda County, California","794","200",
"1500000US060014038003","Block Group 3, Census Tract 4038, Alameda County, California","733","239",
"1500000US060014038004","Block Group 4, Census Tract 4038, Alameda County, California","1380","257",
"1500000US060014039001","Block Group 1, Census Tract 4039, Alameda County, California","1463","473",
"1500000US060014039002","Block Group 2, Census Tract 4039, Alameda County, California","1223","607",
"1500000US060014039003","Block Group 3, Census Tract 4039, Alameda County, California","1436","488",
"1500000US060014040001","Block Group 1, Census Tract 4040, Alameda County, California","834","190",
"1500000US060014040002","Block Group 2, Census Tract 4040, Alameda County, California","1240","252",
"1500000US060014040003","Block Group 3, Census Tract 4040, Alameda County, California","836","227",
"1500000US060014041011","Block Group 1, Census Tract 4041.01, Alameda County, California","1155","162",
"1500000US060014041012","Block Group 2, Census Tract 4041.01, Alameda County, California","1018","293",
"1500000US060014041013","Block Group 3, Census Tract 4041.01, Alameda County, California","815","163",
"1500000US060014041021","Block Group 1, Census Tract 4041.02, Alameda County, California","1637","339",
"1500000US060014041022","Block Group 2, Census Tract 4041.02, Alameda County, California","1000","153",
"1500000US060014042001","Block Group 1, Census Tract 4042, Alameda County, California","1195","267",
"1500000US060014042002","Block Group 2, Census Tract 4042, Alameda County, California","1417","386",
"1500000US060014042003","Block Group 3, Census Tract 4042, Alameda County, California","1214","215",
"1500000US060014043001","Block Group 1, Census Tract 4043, Alameda County, California","1224","263",
"1500000US060014043002","Block Group 2, Census Tract 4043, Alameda County, California","1024","206",
"1500000US060014043003","Block Group 3, Census Tract 4043, Alameda County, California","1298","256",
"1500000US060014044001","Block Group 1, Census Tract 4044, Alameda County, California","1887","488",
"1500000US060014044002","Block Group 2, Census Tract 4044, Alameda County, California","1284","381",
"1500000US060014044003","Block Group 3, Census Tract 4044, Alameda County, California","2011","496",
"1500000US060014044004","Block Group 4, Census Tract 4044, Alameda County, California","573","208",
"1500000US060014045011","Block Group 1, Census Tract 4045.01, Alameda County, California","1790","189",
"1500000US060014045021","Block Group 1, Census Tract 4045.02, Alameda County, California","936","266",
"1500000US060014045022","Block Group 2, Census Tract 4045.02, Alameda County, California","1815","555",
"1500000US060014045023","Block Group 3, Census Tract 4045.02, Alameda County, California","1558","292",
"1500000US060014045024","Block Group 4, Census Tract 4045.02, Alameda County, California","1584","265",
"1500000US060014046001","Block Group 1, Census Tract 4046, Alameda County, California","1112","222",
"1500000US060014046002","Block Group 2, Census Tract 4046, Alameda County, California","680","195",
"1500000US060014046003","Block Group 3, Census Tract 4046, Alameda County, California","1471","417",
"1500000US060014046004","Block Group 4, Census Tract 4046, Alameda County, California","1673","372",
"1500000US060014047001","Block Group 1, Census Tract 4047, Alameda County, California","992","198",
"1500000US060014047002","Block Group 2, Census Tract 4047, Alameda County, California","1107","199",
"1500000US060014048001","Block Group 1, Census Tract 4048, Alameda County, California","1170","245",
"1500000US060014048002","Block Group 2, Census Tract 4048, Alameda County, California","1480","315",
"1500000US060014049001","Block Group 1, Census Tract 4049, Alameda County, California","827","185",
"1500000US060014049002","Block Group 2, Census Tract 4049, Alameda County, California","1004","284",
"1500000US060014049003","Block Group 3, Census Tract 4049, Alameda County, California","1158","365",
"1500000US060014049004","Block Group 4, Census Tract 4049, Alameda County, California","1264","283",
"1500000US060014050001","Block Group 1, Census Tract 4050, Alameda County, California","842","215",
"1500000US060014050002","Block Group 2, Census Tract 4050, Alameda County, California","1271","249",
"1500000US060014050003","Block Group 3, Census Tract 4050, Alameda County, California","1331","288",
"1500000US060014051001","Block Group 1, Census Tract 4051, Alameda County, California","884","202",
"1500000US060014051002","Block Group 2, Census Tract 4051, Alameda County, California","825","237",
